year,p,gperc,weight,a_pre,sh_tax_dir_pit,sh_tax_cit,sh_tax_ind,sh_tax_dir_wea,sh_tax_dir_wea_prh,sh_tax_dir_wea_prb,sh_tax_dir_wea_wea,sh_tax_soc_tot_soc,sh_tax
1980,75000,76,2277260,13310,0.1177,0.0205,0.0545,0.0223,0.0123,0.0108,0.0023,0.0878,0.3028
1980,76000,77,2277260,13586,0.1171,0.0204,0.0544,0.0229,0.0123,0.0109,0.0023,0.0875,0.3023
1980,77000,78,2277260,13872,0.1187,0.0213,0.0530,0.0230,0.0123,0.0111,0.0024,0.0863,0.3023
1980,78000,79,2277260,14169,0.1281,0.0182,0.0536,0.0222,0.0123,0.0112,0.0024,0.0907,0.3129
1980,79000,80,2277260,14479,0.1177,0.0223,0.0526,0.0242,0.0123,0.0115,0.0025,0.0845,0.3014
1980,80000,81,2277260,14803,0.1233,0.0213,0.0531,0.0235,0.0123,0.0117,0.0025,0.0872,0.3085
1980,81000,82,2277260,15144,0.1256,0.0218,0.0528,0.0220,0.0123,0.0120,0.0026,0.0858,0.3079
1980,82000,83,2277260,15505,0.1290,0.0202,0.0523,0.0228,0.0123,0.0124,0.0026,0.0878,0.3122
1980,83000,84,2277260,15891,0.1266,0.0229,0.0516,0.0242,0.0123,0.0128,0.0027,0.0849,0.3102
1980,84000,85,2277260,16306,0.1305,0.0207,0.0519,0.0232,0.0123,0.0131,0.0028,0.0878,0.3141
1980,85000,86,2277260,16758,0.1317,0.0218,0.0517,0.0221,0.0123,0.0137,0.0029,0.0877,0.3151
1980,86000,87,2277260,17255,0.1266,0.0245,0.0505,0.0255,0.0123,0.0144,0.0031,0.0818,0.3088
1980,87000,88,2277260,17806,0.1383,0.0200,0.0514,0.0230,0.0123,0.0143,0.0030,0.0886,0.3214
1980,88000,89,2277260,18428,0.1310,0.0256,0.0494,0.0244,0.0123,0.0148,0.0032,0.0811,0.3115
1980,89000,90,2277260,19136,0.1327,0.0242,0.0484,0.0252,0.0123,0.0151,0.0032,0.0791,0.3096
1980,90000,91,2277260,19957,0.1412,0.0220,0.0469,0.0227,0.0123,0.0155,0.0033,0.0824,0.3152
1980,91000,92,2277260,20921,0.1431,0.0242,0.0452,0.0243,0.0123,0.0167,0.0036,0.0785,0.3154
1980,92000,93,2277260,22076,0.1446,0.0246,0.0451,0.0262,0.0123,0.0178,0.0038,0.0769,0.3174
1980,93000,94,2277260,23494,0.1458,0.0257,0.0442,0.0264,0.0123,0.0190,0.0041,0.0728,0.3150
1980,94000,95,2277260,25290,0.1504,0.0304,0.0432,0.0290,0.0123,0.0202,0.0043,0.0679,0.3209
1980,95000,96,2277260,27666,0.1527,0.0294,0.0422,0.0296,0.0123,0.0213,0.0045,0.0644,0.3183
1980,96000,97,2277260,31020,0.1580,0.0346,0.0400,0.0329,0.0123,0.0228,0.0049,0.0565,0.3220
1980,97000,98,2277260,36282,0.1638,0.0376,0.0363,0.0367,0.0123,0.0241,0.0051,0.0491,0.3235
1980,98000,99,2277260,46490,0.1700,0.0482,0.0329,0.0434,0.0123,0.0265,0.0057,0.0385,0.3330
1980,99000,100,227726,57025,0.1767,0.0537,0.0312,0.0494,0.0123,0.0300,0.0064,0.0311,0.3421
1980,99100,101,227726,60172,0.1846,0.0579,0.0304,0.0533,0.0123,0.0300,0.0064,0.0304,0.3566
1980,99200,102,227726,63942,0.1964,0.0485,0.0296,0.0468,0.0123,0.0307,0.0065,0.0315,0.3527
1980,99300,103,227726,68571,0.1869,0.0611,0.0280,0.0539,0.0123,0.0312,0.0066,0.0261,0.3560
1980,99400,104,227726,74445,0.1979,0.0588,0.0265,0.0523,0.0123,0.0337,0.0072,0.0259,0.3614
1980,99500,105,227726,82242,0.2019,0.0644,0.0265,0.0579,0.0123,0.0333,0.0071,0.0224,0.3732
1980,99600,106,227726,93303,0.2083,0.0639,0.0254,0.0574,0.0123,0.0365,0.0078,0.0208,0.3758
1980,99700,107,227726,110802,0.2139,0.0714,0.0250,0.0597,0.0123,0.0403,0.0086,0.0176,0.3876
1980,99800,108,227726,145190,0.2315,0.0781,0.0248,0.0648,0.0123,0.0446,0.0095,0.0147,0.4138
1980,99900,109,22773,181018,0.2361,0.0890,0.0245,0.0614,0.0123,0.0447,0.0095,0.0123,0.4233
1980,99910,110,22773,191771,0.2548,0.0823,0.0249,0.0626,0.0123,0.0431,0.0092,0.0123,0.4369
1980,99920,111,22773,204659,0.2330,0.0944,0.0245,0.0727,0.0123,0.0436,0.0093,0.0107,0.4352
1980,99930,112,22773,220487,0.2296,0.0998,0.0243,0.0738,0.0123,0.0457,0.0097,0.0098,0.4373
1980,99940,113,22773,240553,0.2450,0.1002,0.0245,0.0718,0.0123,0.0465,0.0099,0.0098,0.4514
1980,99950,114,22773,267144,0.2408,0.1144,0.0242,0.0755,0.0123,0.0492,0.0105,0.0081,0.4629
1980,99960,115,22773,304754,0.2461,0.1161,0.0242,0.0784,0.0123,0.0537,0.0115,0.0077,0.4726
1980,99970,116,22773,363979,0.2452,0.1193,0.0242,0.0755,0.0123,0.0544,0.0116,0.0067,0.4709
1980,99980,117,22773,479744,0.2485,0.1406,0.0239,0.0782,0.0123,0.0554,0.0118,0.0049,0.4962
1980,99990,118,2277,600239,0.2552,0.1475,0.0237,0.0879,0.0123,0.0564,0.0120,0.0040,0.5184
1980,99991,119,2277,636487,0.2548,0.1442,0.0239,0.0805,0.0123,0.0562,0.0120,0.0036,0.5069
1980,99992,120,2277,680003,0.2421,0.1621,0.0235,0.0890,0.0123,0.0566,0.0121,0.0032,0.5198
1980,99993,121,2277,733551,0.2187,0.1744,0.0234,0.0883,0.0123,0.0570,0.0121,0.0028,0.5076
1980,99994,122,2277,801635,0.2349,0.1726,0.0234,0.0876,0.0123,0.0571,0.0122,0.0025,0.5210
1980,99995,123,2277,892191,0.2046,0.1726,0.0238,0.0817,0.0123,0.0575,0.0123,0.0026,0.4853
1980,99996,124,2277,1020919,0.2340,0.1775,0.0233,0.0858,0.0123,0.0579,0.0123,0.0020,0.5226
1980,99997,125,2277,1224954,0.2323,0.1706,0.0236,0.0838,0.0123,0.0582,0.0124,0.0022,0.5124
1980,99998,126,2277,1626838,0.2352,0.1937,0.0231,0.0946,0.0123,0.0576,0.0123,0.0013,0.5479
1980,99999,127,2277,4324005,0.2470,0.2085,0.0232,0.0866,0.0123,0.0648,0.0138,0.0008,0.5661
