firm_id,fyear,tic,merge_status,matched,sp500_member,sector,knowledge_sector,comp_pi,orb_pi,comp_revt,orb_revt,comp_txfed,comp_txfo,comp_txc,comp_txt,etr_current,etr_federal,etr_foreign,etr_total,post2022,post_tcja,knowledge_post2022,knowledge_post_tcja,costat,curcd,datafmt,indfmt,consol,cik,state,comp_gdwl,comp_intan,intano,tlcf,txdb,txdba,txdbca,txdbcl,txditc,txndb,txndba,txndbl,txndbr,txp,txr,comp_gp,comp_pidom,comp_pifo,comp_txdfed,comp_txdfo,comp_txdi,txds,txo,txs,utxfed,tdc,txach,txdc,comp_txpd,acqgdwl,acqintan,comp_emp,nace4_prim,sic,sic_name,orb_ni,orb_cf,orb_at,orb_profmarg,orb_mktcap,orb_name2,orb_intan,orb_cash,orb_rd,orb_emp,orb_tax,orb_taxrate,nace4_sec,nace_4d,nace_2d,CPI,big_sectors,tech,pharma,other_knowledge,commodities_retail,industry,other_services,traditional_sector,log_revenue,rev_per_emp,etr_total_pct,etr_current_pct,etr_federal_pct,etr_foreign_pct,sp500_pre,sp500_x_post
id00002,2024,PNW,Matched,1,1,Other Services,0.0,736.559,736559000.0,5124.915,5124915000.0,137.342,,139.734,110.529,0.18971187,0.18646434,,0.1500613,1,1,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,0.0,591.31,591.31,,2444.473,0.0,0.0,0.0,2693.963,-2444.473,1146.461,3590.934,0.0,175.863,,1907.409,,,,,-29.205,,0.0,2.392,137.342,-20.923,,-29.176,133.968,,,6.403,3511,4911.0,Electric Services,608806000.0,1564990000.0,26102760000.0,14.37,9638.33,Pinnacle West Capital Corp,591310000.0,3838000.0,,88.0,127753000.0,0.17344572,6421.0,3511.0,35.0,314.4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.541869,800.3928,15.006129443645477,18.971186876296997,18.64643394947052,,1,1
id00002,2025,PNW,Compustat only,0,1,,,738.369,,5339.939,,87.913,,98.805,106.726,0.1338152,0.11906377,,0.1445429,1,1,,,A,USD,STD,INDL,C,764622.0,AZ,0.0,575.978,575.978,,2470.932,0.0,0.0,0.0,2779.193,-2470.932,1651.136,4122.068,0.0,186.605,,1982.973,,,,,7.921,,0.0,10.892,87.913,-50.85,,7.922,22.754,,,6.61,3511,4911.0,Electric Services,,,,,,,,,,,,,,,,,,,,,,,,,8.58297,807.8576,14.454290270805359,13.3815199136734,11.906377226114273,,1,1
id00002,2010,PNW,Matched,1,1,Other Services,0.0,514.919,505720000.0,3263.645,3189199000.0,,,,164.321,,,,0.31912008,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,,184.952,,,1833.566,0.0,94.602,0.0,1833.566,-1738.964,907.396,2646.36,0.0,104.711,,1138.439,,,,,,,,,,260.411,,260.411,-23.447,,,6.74,3511,4911.0,Electric Services,350053000.0,821279000.0,12392998000.0,15.86,4506.1,Pinnacle West Capital Corp,184952000.0,110188000.0,,80.0,155667000.0,0.30781263,6421.0,3511.0,35.0,218.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0906,484.22034,31.912007927894592,,,,1,0
id00002,2009,PNW,Matched,1,1,Other Services,0.0,105.058,394599000.0,3297.101,3153656000.0,,,,37.827,,,,0.36005825,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,,164.38,,,1496.095,0.0,53.99,0.0,1496.095,-1442.105,837.329,2279.434,0.0,104.011,,984.557,,,,,,,,,,105.492,,105.492,-52.776,,,7.2,3511,4911.0,Electric Services,68330000.0,514318000.0,11986324000.0,12.51,3704.88,Pinnacle West Capital Corp,164380000.0,145378000.0,,7200.0,326269000.0,0.8268368,6421.0,3511.0,35.0,214.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.100799,457.93073,36.00582480430603,,,,1,0
id00002,2011,PNW,Matched,1,1,Other Services,0.0,539.238,539238000.0,3241.379,3241379000.0,,,,183.604,,,,0.3404879,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,,170.571,,,1925.388,0.0,130.571,0.0,1925.388,-1794.817,1243.618,3038.435,0.0,120.289,,1173.562,,,,,,,,,,176.192,,176.192,10.324,,,6.663,3511,4911.0,Electric Services,339473000.0,833126000.0,13111018000.0,16.64,5260.35,Pinnacle West Capital Corp,170571000.0,33583000.0,,80.0,199765000.0,0.37045792,6421.0,3511.0,35.0,224.9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.083755,486.4744,34.048789739608765,,,,1,0
id00002,2000,PNW,Matched,1,1,Other Services,0.0,526.184,496532000.0,3690.175,3119522000.0,189.779,,232.085,223.852,0.44107193,0.36067042,,0.42542532,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,,0.0,,,1143.04,,,,1143.04,,,,,89.246,,1070.381,,,,,-8.233,,0.0,42.306,189.779,-8.973,18.736,-8.233,219.0,,,7.2,3511,4911.0,Electric Services,302332000.0,733561000.0,7162985000.0,15.92,,Pinnacle West Capital Corp,0.0,10363000.0,,7200.0,194200000.0,0.39111274,6421.0,3511.0,35.0,172.2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.213429,512.52435,42.542532086372375,44.10719275474548,36.067041754722595,,1,0
id00002,2001,PNW,Matched,1,1,Other Services,0.0,540.902,540902000.0,4551.373,2634768000.0,184.893,,230.738,213.535,0.42658007,0.3418235,,0.39477578,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,,0.0,,,1064.993,,,,1064.993,,,,,96.729,,1102.53,,,,,-17.203,,0.0,45.845,184.893,-16.939,7.483,-17.203,223.037,,,7.6,3511,4911.0,Electric Services,312166000.0,740069000.0,7939399000.0,20.53,,Pinnacle West Capital Corp,86782000.0,28619000.0,,7600.0,228736000.0,0.42287883,6421.0,3511.0,35.0,177.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.423184,598.86487,39.477577805519104,42.65800714492798,34.18234884738922,,1,0
id00002,2002,PNW,Matched,1,1,Other Services,0.0,353.253,388708000.0,2637.279,2405250000.0,-43.492,,-58.224,138.1,0.0,0.0,,0.39093795,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,,109.815,,,1209.074,,,,1209.074,,,,,71.109,,940.933,,,,,196.324,,0.0,-14.732,-43.492,196.324,-36.039,196.324,-17.918,,,7.2,3511,4911.0,Electric Services,149408000.0,571707000.0,9139157000.0,16.16,2889.6,Pinnacle West Capital Corp,109815000.0,77566000.0,,7200.0,239300000.0,0.6156292,6421.0,3511.0,35.0,179.9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.877503,366.28876,39.09379541873932,0.0,0.0,,1,0
id00002,2003,PNW,Matched,1,1,Other Services,0.0,336.136,327586000.0,2817.852,2758804000.0,22.875,,23.804,105.56,0.07081658,0.06805281,,0.31403956,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,,108.534,,,1329.253,,,,1329.253,,,,,69.769,,920.196,,,,,81.756,,0.0,0.929,22.875,81.756,-1.338,81.756,32.816,,,7.2,3511,4911.0,Electric Services,240579000.0,707479000.0,9519042000.0,11.87,3392.26,Pinnacle West Capital Corp,108534000.0,222912000.0,,7200.0,87007000.0,0.26560047,6421.0,3511.0,35.0,184.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.9437304,391.36835,31.403955817222595,7.081657648086548,6.805281341075897,,1,0
id00002,2004,PNW,Matched,1,1,Other Services,0.0,364.075,382732000.0,2899.725,2829006000.0,,,,128.857,,,,0.3539298,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,,105.486,,,1227.553,0.0,0.0,9.057,1227.553,-1236.61,480.368,1716.978,0.0,245.611,,907.364,,,,,,,,,,-113.85,175.842,-113.85,66.447,,,7.2,3511,4911.0,Electric Services,243195000.0,675356000.0,9896747000.0,13.53,3764.37,Pinnacle West Capital Corp,105486000.0,344541000.0,,7200.0,139537000.0,0.36458147,6421.0,3511.0,35.0,188.9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.972371,402.7396,35.39297878742218,,,,1,0
