year,p,gperc,weight,a_pre,sh_tax_dir_pit,sh_tax_cit,sh_tax_ind,sh_tax_dir_wea,sh_tax_dir_wea_prh,sh_tax_dir_wea_prb,sh_tax_dir_wea_wea,sh_tax_soc_tot_soc,sh_tax
2023,60000,61,3334231,49305,0.0585,0.0071,0.0670,0.0271,0.0173,0.0091,0.0008,0.0961,0.2559
2023,61000,62,3334231,50548,0.0599,0.0071,0.0665,0.0271,0.0173,0.0090,0.0008,0.0960,0.2565
2023,62000,63,3334231,51816,0.0612,0.0071,0.0660,0.0271,0.0173,0.0090,0.0007,0.0955,0.2569
2023,63000,64,3334231,53113,0.0626,0.0072,0.0655,0.0273,0.0173,0.0092,0.0008,0.0950,0.2576
2023,64000,65,3334231,54442,0.0641,0.0072,0.0649,0.0273,0.0173,0.0092,0.0008,0.0944,0.2579
2023,65000,66,3334231,55806,0.0656,0.0071,0.0644,0.0272,0.0173,0.0091,0.0008,0.0946,0.2589
2023,66000,67,3334231,57207,0.0671,0.0071,0.0639,0.0271,0.0173,0.0090,0.0007,0.0936,0.2588
2023,67000,68,3334231,58652,0.0686,0.0071,0.0634,0.0272,0.0173,0.0091,0.0008,0.0933,0.2596
2023,68000,69,3334231,60144,0.0702,0.0072,0.0629,0.0272,0.0173,0.0091,0.0008,0.0932,0.2607
2023,69000,70,3334231,61687,0.0718,0.0073,0.0624,0.0274,0.0173,0.0093,0.0008,0.0923,0.2613
2023,70000,71,3334231,63286,0.0735,0.0073,0.0619,0.0275,0.0173,0.0094,0.0008,0.0914,0.2616
2023,71000,72,3334231,64949,0.0752,0.0076,0.0614,0.0278,0.0173,0.0096,0.0008,0.0910,0.2629
2023,72000,73,3334231,66680,0.0769,0.0076,0.0609,0.0278,0.0173,0.0097,0.0008,0.0903,0.2635
2023,73000,74,3334231,68487,0.0787,0.0076,0.0604,0.0279,0.0173,0.0097,0.0008,0.0899,0.2644
2023,74000,75,3334231,70378,0.0805,0.0077,0.0599,0.0280,0.0173,0.0098,0.0008,0.0894,0.2655
2023,75000,76,3334231,72363,0.0824,0.0078,0.0594,0.0281,0.0173,0.0100,0.0008,0.0888,0.2665
2023,76000,77,3334231,74450,0.0844,0.0078,0.0588,0.0282,0.0173,0.0100,0.0008,0.0885,0.2678
2023,77000,78,3334231,76654,0.0864,0.0080,0.0583,0.0284,0.0173,0.0102,0.0008,0.0877,0.2688
2023,78000,79,3334231,78988,0.0885,0.0081,0.0578,0.0285,0.0173,0.0104,0.0009,0.0871,0.2701
2023,79000,80,3334231,81466,0.0907,0.0083,0.0572,0.0288,0.0173,0.0106,0.0009,0.0861,0.2712
2023,80000,81,3334231,84109,0.0929,0.0085,0.0567,0.0290,0.0173,0.0108,0.0009,0.0858,0.2729
2023,81000,82,3334231,86935,0.0953,0.0087,0.0561,0.0293,0.0173,0.0111,0.0009,0.0857,0.2751
2023,82000,83,3334231,89970,0.0978,0.0089,0.0556,0.0297,0.0173,0.0114,0.0009,0.0852,0.2771
2023,83000,84,3334231,93243,0.1004,0.0092,0.0550,0.0301,0.0173,0.0117,0.0010,0.0843,0.2790
2023,84000,85,3334231,96790,0.1032,0.0095,0.0544,0.0304,0.0173,0.0121,0.0010,0.0836,0.2811
2023,85000,86,3334231,100658,0.1061,0.0099,0.0538,0.0310,0.0173,0.0126,0.0010,0.0832,0.2840
2023,86000,87,3334231,104902,0.1093,0.0104,0.0531,0.0317,0.0173,0.0133,0.0011,0.0825,0.2871
2023,87000,88,3334231,109595,0.1126,0.0103,0.0525,0.0315,0.0173,0.0131,0.0011,0.0817,0.2886
2023,88000,89,3334231,114833,0.1163,0.0107,0.0518,0.0321,0.0173,0.0136,0.0011,0.0807,0.2915
2023,89000,90,3334231,120744,0.1202,0.0109,0.0511,0.0324,0.0173,0.0139,0.0012,0.0802,0.2947
2023,90000,91,3334231,127506,0.1243,0.0112,0.0503,0.0328,0.0173,0.0143,0.0012,0.0795,0.2981
2023,91000,92,3334231,135371,0.1288,0.0120,0.0495,0.0340,0.0173,0.0153,0.0013,0.0788,0.3031
2023,92000,93,3334231,144717,0.1335,0.0128,0.0487,0.0351,0.0173,0.0164,0.0014,0.0779,0.3080
2023,93000,94,3334231,156131,0.1385,0.0137,0.0477,0.0363,0.0173,0.0175,0.0015,0.0768,0.3131
2023,94000,95,3334231,170596,0.1438,0.0146,0.0467,0.0374,0.0173,0.0186,0.0015,0.0755,0.3180
2023,95000,96,3334231,189902,0.1492,0.0154,0.0456,0.0385,0.0173,0.0196,0.0016,0.0740,0.3228
2023,96000,97,3334231,217753,0.1548,0.0165,0.0443,0.0401,0.0173,0.0210,0.0017,0.0726,0.3283
2023,97000,98,3334231,263470,0.1605,0.0174,0.0427,0.0414,0.0173,0.0222,0.0018,0.0712,0.3332
2023,98000,99,3334231,360836,0.1662,0.0191,0.0407,0.0438,0.0173,0.0244,0.0020,0.0673,0.3371
